split,threshold,condition,bin,n,accuracy,MCC,F1_weighted,precision_weighted,recall_weighted
70,0.733,below_threshold,40-50%,1221,0.47583947583947583,0.45161152148540024,0.49300962615047134,0.5934782906588875,0.47583947583947583
70,0.733,below_threshold,50-60%,2058,0.5597667638483965,0.5392272339287009,0.5869550318485817,0.6655614839918815,0.5597667638483965
70,0.733,below_threshold,60-70%,2743,0.6492890995260664,0.6166773894167039,0.6643684794486648,0.7282329434437613,0.6492890995260664
70,0.733,below_threshold,70-80%,41,0.4878048780487805,0.4560061310720399,0.4913666279519938,0.6170731707317073,0.4878048780487805
70,0.733,below_threshold,80-90%,2,1.0,1.0,1.0,1.0,1.0
80,0.666,all,0-10%,1,0.0,,0.0,0.0,0.0
80,0.666,all,10-20%,70,0.12857142857142856,0.03170624514753037,0.1316259892730481,0.16512925170068027,0.12857142857142856
80,0.666,all,20-30%,488,0.20081967213114754,0.10186073196961004,0.1816366612084863,0.2562344166206246,0.20081967213114754
80,0.666,all,30-40%,941,0.6259298618490967,0.6034283554640127,0.623067565309095,0.6929150169804272,0.6259298618490967
80,0.666,all,40-50%,3751,0.9202879232204746,0.9152352651160934,0.9195263762000652,0.9254038781638082,0.9202879232204746
80,0.666,all,50-60%,13560,0.9639380530973451,0.9609244263361665,0.9634219799925452,0.9650237448028667,0.9639380530973451
